Region,Date,Year,Month,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Lake Forest Park, WA",9/30/2015,2015,10,$541K,35.3%,33.6%,20,11.1%,17.6%,17,-37.0%,-29.2%,26,-23.5%,-48.0%,13,-2,-7,101.8%,1.3%,2.7%
"Lake Forest Park, WA",10/31/2015,2015,11,$500K,-7.7%,4.7%,18,-10.0%,50.0%,7,-58.8%,-36.4%,19,-26.9%,-47.2%,20,7,3,100.7%,-1.1%,2.6%
"Lake Forest Park, WA",11/30/2015,2015,12,$528K,5.6%,13.0%,22,22.2%,-8.3%,7,0.0%,40.0%,13,-31.6%,-40.9%,19,-1,-24,98.2%,-2.6%,0.3%
"Lake Forest Park, WA",12/31/2015,2015,1,$468K,-11.2%,1.8%,6,-72.7%,-14.3%,16,128.6%,128.6%,17,30.8%,6.3%,17,-2,-53,98.6%,0.5%,1.1%
"Lake Forest Park, WA",1/31/2016,2016,2,$465K,-0.7%,2.8%,14,133.3%,16.7%,27,68.8%,42.1%,13,-23.5%,-31.6%,7,-10,-24,101.7%,3.0%,3.4%
"Lake Forest Park, WA",2/29/2016,2016,3,$475K,2.1%,14.0%,31,121.4%,93.8%,41,51.9%,64.0%,28,115.4%,75.0%,8,1,-6,102.0%,0.3%,3.4%
"Lake Forest Park, WA",3/31/2016,2016,4,$550K,15.8%,25.1%,19,-38.7%,-17.4%,23,-43.9%,-32.4%,22,-21.4%,-8.3%,7,-1,0,103.0%,1.0%,1.4%
"Lake Forest Park, WA",4/30/2016,2016,5,$615K,11.8%,24.9%,19,0.0%,-20.8%,31,34.8%,-24.4%,29,31.8%,-14.7%,9,2,1,102.7%,-0.3%,0.0%
"Lake Forest Park, WA",5/31/2016,2016,6,$625K,1.6%,8.5%,28,47.4%,-9.7%,47,51.6%,67.9%,32,10.3%,6.7%,9,0,1,103.1%,0.3%,2.5%
"Lake Forest Park, WA",6/30/2016,2016,7,$639K,2.2%,20.5%,26,-7.1%,-23.5%,25,-46.8%,8.7%,24,-25.0%,-20.0%,7,-2,-3,103.3%,0.2%,3.3%
"Lake Forest Park, WA",7/31/2016,2016,8,$550K,-13.9%,-11.1%,31,19.2%,82.4%,39,56.0%,77.3%,31,29.2%,-3.1%,9,2,1,102.5%,-0.8%,5.7%
"Lake Forest Park, WA",8/31/2016,2016,9,$568K,3.3%,42.0%,31,0.0%,72.2%,25,-35.9%,-7.4%,29,-6.5%,-14.7%,10,1,-5,101.2%,-1.3%,0.7%
"Lake Forest Park, WA",9/30/2016,2016,10,$540K,-4.9%,-0.2%,21,-32.3%,5.0%,21,-16.0%,23.5%,25,-13.8%,-3.8%,9,-1,-4,100.3%,-0.9%,-1.6%
"Lake Forest Park, WA",10/31/2016,2016,11,$537K,-0.6%,7.5%,21,0.0%,16.7%,7,-66.7%,0.0%,19,-24.0%,0.0%,7,-2,-13,101.0%,0.7%,0.3%
"Lake Forest Park, WA",11/30/2016,2016,12,$570K,6.2%,8.1%,12,-42.9%,-45.5%,5,-28.6%,-28.6%,12,-36.8%,-7.7%,13,6,-6,102.3%,1.3%,4.1%
"Lake Forest Park, WA",12/31/2016,2016,1,$577K,1.2%,23.2%,8,-33.3%,33.3%,18,260.0%,12.5%,16,33.3%,-5.9%,15,2,-2,100.6%,-1.7%,2.0%
"Lake Forest Park, WA",1/31/2017,2017,2,"$1,305K",126.2%,180.6%,8,0.0%,-42.9%,8,-55.6%,-70.4%,13,-18.8%,0.0%,10,-5,3,100.0%,-0.6%,-1.7%
"Lake Forest Park, WA",2/28/2017,2017,3,$665K,-49.0%,40.0%,23,187.5%,-25.8%,17,112.5%,-58.5%,13,0.0%,-53.6%,13,3,5,102.8%,2.8%,0.8%
"Lake Forest Park, WA",3/31/2017,2017,4,$660K,-0.8%,20.0%,11,-52.2%,-42.1%,25,47.1%,8.7%,21,61.5%,-4.5%,7,-6,0,106.9%,4.1%,3.9%
"Lake Forest Park, WA",4/30/2017,2017,5,$612K,-7.3%,-0.5%,30,172.7%,57.9%,32,28.0%,3.2%,21,0.0%,-27.6%,8,1,-1,107.3%,0.4%,4.6%
"Lake Forest Park, WA",5/31/2017,2017,6,$651K,6.3%,4.1%,25,-16.7%,-10.7%,28,-12.5%,-40.4%,19,-9.5%,-40.6%,9,1,0,106.7%,-0.6%,3.6%
"Lake Forest Park, WA",6/30/2017,2017,7,$673K,3.5%,5.4%,27,8.0%,3.8%,25,-10.7%,0.0%,26,36.8%,8.3%,9,0,2,107.6%,0.8%,4.3%
"Lake Forest Park, WA",7/31/2017,2017,8,$612K,-9.1%,11.3%,21,-22.2%,-32.3%,29,16.0%,-25.6%,23,-11.5%,-25.8%,8,-1,-1,105.8%,-1.8%,3.3%
"Lake Forest Park, WA",8/31/2017,2017,9,$620K,1.3%,9.2%,23,9.5%,-25.8%,26,-10.3%,4.0%,25,8.7%,-13.8%,11,3,1,101.6%,-4.2%,0.4%
"Lake Forest Park, WA",9/30/2017,2017,10,$734K,18.3%,35.9%,19,-17.4%,-9.5%,19,-26.9%,-9.5%,17,-32.0%,-32.0%,11,0,2,100.4%,-1.2%,0.1%
"Lake Forest Park, WA",10/31/2017,2017,11,$599K,-18.4%,11.5%,20,5.3%,-4.8%,15,-21.1%,114.3%,12,-29.4%,-36.8%,8,-3,1,102.8%,2.4%,1.8%
"Lake Forest Park, WA",11/30/2017,2017,12,$576K,-3.8%,1.0%,20,0.0%,66.7%,6,-60.0%,20.0%,7,-41.7%,-41.7%,8,0,-5,103.8%,1.1%,1.6%
"Lake Forest Park, WA",12/31/2017,2017,1,$389K,-32.6%,-32.7%,2,-90.0%,-75.0%,18,200.0%,0.0%,7,0.0%,-56.3%,35,27,20,100.4%,-3.4%,-0.2%
"Lake Forest Park, WA",1/31/2018,2018,2,$738K,89.8%,-43.5%,10,400.0%,25.0%,15,-16.7%,87.5%,4,-42.9%,-69.2%,8,-27,-2,102.6%,2.2%,2.6%
"Lake Forest Park, WA",2/28/2018,2018,3,$702K,-4.7%,5.6%,24,140.0%,4.3%,24,60.0%,41.2%,5,25.0%,-61.5%,7,-1,-6,103.9%,1.3%,1.1%
"Lake Forest Park, WA",3/31/2018,2018,4,$743K,5.8%,12.6%,22,-8.3%,100.0%,25,4.2%,0.0%,11,120.0%,-47.6%,7,0,0,105.8%,1.9%,-1.1%
"Lake Forest Park, WA",4/30/2018,2018,5,$729K,-1.9%,19.1%,27,22.7%,-10.0%,31,24.0%,-3.1%,15,36.4%,-28.6%,7,0,-1,103.3%,-2.5%,-4.0%
"Lake Forest Park, WA",5/31/2018,2018,6,$733K,0.5%,12.6%,24,-11.1%,-4.0%,32,3.2%,14.3%,17,13.3%,-10.5%,9,2,0,102.4%,-0.9%,-4.4%
"Lake Forest Park, WA",6/30/2018,2018,7,$700K,-4.5%,4.0%,33,37.5%,22.2%,27,-15.6%,8.0%,26,52.9%,0.0%,11,2,2,101.9%,-0.5%,-5.7%
"Lake Forest Park, WA",7/31/2018,2018,8,$757K,8.1%,23.7%,27,-18.2%,28.6%,27,0.0%,-6.9%,30,15.4%,30.4%,8,-3,0,103.1%,1.3%,-2.7%
"Lake Forest Park, WA",8/31/2018,2018,9,$605K,-20.1%,-2.4%,18,-33.3%,-21.7%,21,-22.2%,-19.2%,34,13.3%,36.0%,8,0,-3,99.4%,-3.7%,-2.2%
"Lake Forest Park, WA",9/30/2018,2018,10,$749K,23.8%,2.1%,13,-27.8%,-31.6%,19,-9.5%,0.0%,42,23.5%,147.1%,17,9,6,97.4%,-2.0%,-3.0%
"Lake Forest Park, WA",10/31/2018,2018,11,$727K,-3.0%,21.3%,22,69.2%,10.0%,5,-73.7%,-66.7%,25,-40.5%,108.3%,17,0,9,99.4%,2.0%,-3.4%
"Lake Forest Park, WA",11/30/2018,2018,12,$660K,-9.2%,14.5%,18,-18.2%,-10.0%,8,60.0%,33.3%,24,-4.0%,242.9%,27,10,19,98.1%,-1.3%,-5.8%
"Lake Forest Park, WA",12/31/2018,2018,1,$714K,8.2%,83.8%,7,-61.1%,250.0%,12,50.0%,-33.3%,19,-20.8%,171.4%,77,50,42,99.6%,1.5%,-0.8%
"Lake Forest Park, WA",1/31/2019,2019,2,$656K,-8.1%,-11.0%,14,100.0%,40.0%,14,16.7%,-6.7%,20,5.3%,400.0%,83,6,75,98.5%,-1.1%,-4.1%
"Lake Forest Park, WA",2/28/2019,2019,3,$750K,14.3%,6.8%,13,-7.1%,-45.8%,21,50.0%,-12.5%,23,15.0%,360.0%,9,-74,2,100.4%,1.9%,-3.5%
"Lake Forest Park, WA",3/31/2019,2019,4,$638K,-14.9%,-14.2%,17,30.8%,-22.7%,27,28.6%,8.0%,31,34.8%,181.8%,10,1,3,100.1%,-0.3%,-5.7%
"Lake Forest Park, WA",4/30/2019,2019,5,$683K,7.0%,-6.4%,20,17.6%,-25.9%,39,44.4%,25.8%,45,45.2%,200.0%,8,-2,1,102.9%,2.8%,-0.4%
"Lake Forest Park, WA",5/31/2019,2019,6,$771K,13.0%,5.2%,24,20.0%,0.0%,21,-46.2%,-34.4%,35,-22.2%,105.9%,10,2,1,100.5%,-2.4%,-1.9%
"Lake Forest Park, WA",6/30/2019,2019,7,$778K,0.8%,11.1%,26,8.3%,-21.2%,19,-9.5%,-29.6%,29,-17.1%,11.5%,10,0,-1,99.2%,-1.2%,-2.6%
"Lake Forest Park, WA",7/31/2019,2019,8,$718K,-7.7%,-5.2%,19,-26.9%,-29.6%,17,-10.5%,-37.0%,31,6.9%,3.3%,22,12,14,99.4%,0.1%,-3.8%
"Lake Forest Park, WA",8/31/2019,2019,9,$710K,-1.0%,17.4%,10,-47.4%,-44.4%,21,23.5%,0.0%,36,16.1%,5.9%,42,20,34,100.0%,0.6%,0.6%
"Lake Forest Park, WA",9/30/2019,2019,10,$810K,14.1%,8.1%,17,70.0%,30.8%,18,-14.3%,-5.3%,28,-22.2%,-33.3%,14,-28,-3,100.1%,0.1%,2.7%
"Lake Forest Park, WA",10/31/2019,2019,11,$649K,-19.9%,-10.7%,18,5.9%,-18.2%,6,-66.7%,20.0%,14,-50.0%,-44.0%,14,0,-3,102.2%,2.1%,2.8%
"Lake Forest Park, WA",11/30/2019,2019,12,$735K,13.3%,11.4%,25,38.9%,38.9%,5,-16.7%,-37.5%,2,-85.7%,-91.7%,37,23,10,97.2%,-5.0%,-0.9%
"Lake Forest Park, WA",12/31/2019,2019,1,$776K,5.6%,8.7%,11,-56.0%,57.1%,12,140.0%,0.0%,7,250.0%,-63.2%,56,19,-21,99.1%,1.9%,-0.5%
"Lake Forest Park, WA",1/31/2020,2020,2,$942K,21.4%,43.5%,10,-9.1%,-28.6%,12,0.0%,-14.3%,6,-14.3%,-70.0%,7,-49,-76,101.5%,2.4%,3.0%
"Lake Forest Park, WA",2/29/2020,2020,3,$615K,-34.7%,-18.0%,16,60.0%,23.1%,21,75.0%,0.0%,8,33.3%,-65.2%,6,-1,-3,102.9%,1.4%,2.5%
"Lake Forest Park, WA",3/31/2020,2020,4,$713K,15.9%,11.8%,13,-18.8%,-23.5%,15,-28.6%,-44.4%,12,50.0%,-61.3%,6,0,-4,100.6%,-2.3%,0.5%
"Lake Forest Park, WA",4/30/2020,2020,5,$652K,-8.6%,-4.5%,12,-7.7%,-40.0%,20,33.3%,-48.7%,16,33.3%,-64.4%,5,-1,-3,101.9%,1.2%,-1.0%
"Lake Forest Park, WA",5/31/2020,2020,6,$750K,15.1%,-2.7%,15,25.0%,-37.5%,19,-5.0%,-9.5%,12,-25.0%,-65.7%,8,3,-2,101.2%,-0.6%,0.8%
"Lake Forest Park, WA",6/30/2020,2020,7,$685K,-8.7%,-11.9%,24,60.0%,-7.7%,22,15.8%,15.8%,14,16.7%,-51.7%,8,0,-2,103.5%,2.2%,4.2%
"Lake Forest Park, WA",7/31/2020,2020,8,$830K,21.2%,15.7%,21,-12.5%,10.5%,18,-18.2%,5.9%,10,-28.6%,-67.7%,6,-2,-16,106.5%,3.1%,7.2%
"Lake Forest Park, WA",8/31/2020,2020,9,$803K,-3.3%,13.0%,18,-14.3%,80.0%,29,61.1%,38.1%,12,20.0%,-66.7%,7,1,-35,101.4%,-5.2%,1.4%
"Lake Forest Park, WA",9/30/2020,2020,10,$690K,-14.0%,-14.8%,26,44.4%,52.9%,25,-13.8%,38.9%,14,16.7%,-50.0%,6,-1,-8,103.7%,2.4%,3.6%
"Lake Forest Park, WA",10/31/2020,2020,11,$741K,7.4%,14.2%,19,-26.9%,5.6%,10,-60.0%,66.7%,9,-35.7%,-35.7%,7,1,-7,104.6%,0.9%,2.4%
"Lake Forest Park, WA",11/30/2020,2020,12,$710K,-4.2%,-3.4%,16,-15.8%,-36.0%,15,50.0%,200.0%,8,-11.1%,300.0%,7,0,-30,102.3%,-2.3%,5.1%
"Lake Forest Park, WA",12/31/2020,2020,1,$715K,0.7%,-7.9%,19,18.8%,72.7%,14,-6.7%,16.7%,7,-12.5%,0.0%,6,-1,-50,105.6%,3.3%,6.5%
"Lake Forest Park, WA",1/31/2021,2021,2,$794K,11.0%,-15.7%,16,-15.8%,60.0%,11,-21.4%,-8.3%,3,-57.1%,-50.0%,6,0,-1,108.5%,2.9%,7.1%
"Lakewood, WA",1/31/2012,2012,2,$183K,52.7%,-20.0%,34,17.2%,70.0%,52,26.8%,-10.3%,207,-1.0%,-15.9%,60,-43,-21,97.8%,1.3%,3.6%
"Lakewood, WA",2/29/2012,2012,3,$184K,0.3%,-0.7%,32,-5.9%,-5.9%,50,-3.8%,-32.4%,197,-4.8%,-25.7%,105,45,22,96.6%,-1.2%,-1.1%
"Lakewood, WA",3/31/2012,2012,4,$140K,-23.8%,-9.7%,47,46.9%,56.7%,61,22.0%,-7.6%,213,8.1%,-19.0%,41,-64,-100,96.3%,-0.2%,0.4%
"Lakewood, WA",4/30/2012,2012,5,$229K,63.2%,36.8%,32,-31.9%,-38.5%,44,-27.9%,-39.7%,191,-10.3%,-29.5%,116,75,57,93.0%,-3.3%,-2.6%
"Lakewood, WA",5/31/2012,2012,6,$175K,-23.6%,-0.3%,53,65.6%,23.3%,81,84.1%,44.6%,222,16.2%,-19.9%,51,-65,-13,95.9%,2.9%,0.6%
"Lakewood, WA",6/30/2012,2012,7,$174K,-0.3%,-4.9%,34,-35.8%,3.0%,51,-37.0%,-13.6%,218,-1.8%,-18.7%,34,-17,-50,98.5%,2.6%,1.5%
"Lakewood, WA",7/31/2012,2012,8,$165K,-5.1%,-0.7%,48,41.2%,23.1%,40,-21.6%,-28.6%,198,-9.2%,-25.0%,47,13,7,96.2%,-2.4%,1.2%
"Lakewood, WA",8/31/2012,2012,9,$178K,7.9%,1.7%,22,-54.2%,-47.6%,62,55.0%,26.5%,202,2.0%,-19.8%,74,27,-41,97.0%,0.8%,1.9%
"Lakewood, WA",9/30/2012,2012,10,$186K,4.5%,25.7%,42,90.9%,50.0%,56,-9.7%,-1.8%,194,-4.0%,-21.5%,69,-5,-2,97.0%,0.0%,-1.9%
"Lakewood, WA",10/31/2012,2012,11,$174K,-6.6%,-4.5%,44,4.8%,25.7%,42,-25.0%,13.5%,186,-4.1%,-21.5%,63,-6,-6,96.5%,-0.5%,1.7%
"Lakewood, WA",11/30/2012,2012,12,$214K,23.2%,29.7%,41,-6.8%,64.0%,21,-50.0%,-12.5%,164,-11.8%,-24.1%,58,-5,-42,97.0%,0.5%,1.9%
"Lakewood, WA",12/31/2012,2012,1,$190K,-11.2%,58.3%,28,-31.7%,-3.4%,35,66.7%,-14.6%,138,-15.9%,-34.0%,85,27,-18,100.1%,3.1%,3.6%
"Lakewood, WA",1/31/2013,2013,2,$201K,5.6%,9.4%,33,17.9%,-2.9%,57,62.9%,9.6%,160,15.9%,-22.7%,52,-33,-8,95.4%,-4.7%,-2.4%
"Lakewood, WA",2/28/2013,2013,3,$225K,12.2%,22.4%,34,3.0%,6.3%,63,10.5%,26.0%,157,-1.9%,-20.3%,106,54,1,95.3%,-0.1%,-1.2%
"Lakewood, WA",3/31/2013,2013,4,$190K,-15.5%,35.7%,51,50.0%,8.5%,78,23.8%,27.9%,171,8.9%,-19.7%,27,-79,-14,97.3%,2.0%,1.0%
"Lakewood, WA",4/30/2013,2013,5,$199K,4.7%,-12.9%,49,-3.9%,53.1%,66,-15.4%,50.0%,180,5.3%,-5.8%,37,10,-79,98.9%,1.6%,5.9%
"Lakewood, WA",5/31/2013,2013,6,$196K,-1.8%,12.0%,52,6.1%,-1.9%,56,-15.2%,-30.9%,181,0.6%,-18.5%,42,5,-9,96.1%,-2.8%,0.1%
"Lakewood, WA",6/30/2013,2013,7,$205K,4.8%,17.8%,56,7.7%,64.7%,69,23.2%,35.3%,189,4.4%,-13.3%,49,7,15,98.1%,2.1%,-0.4%
"Lakewood, WA",7/31/2013,2013,8,$207K,0.8%,25.2%,50,-10.7%,4.2%,60,-13.0%,50.0%,191,1.1%,-3.5%,47,-2,0,97.6%,-0.6%,1.4%
"Lakewood, WA",8/31/2013,2013,9,$189K,-8.5%,6.2%,35,-30.0%,59.1%,48,-20.0%,-22.6%,189,-1.0%,-6.4%,31,-16,-43,97.2%,-0.4%,0.2%
"Lakewood, WA",9/30/2013,2013,10,$175K,-7.5%,-6.0%,43,22.9%,2.4%,36,-25.0%,-35.7%,161,-14.8%,-17.0%,49,18,-20,99.2%,2.1%,2.3%
"Lakewood, WA",10/31/2013,2013,11,$173K,-1.4%,-0.7%,36,-16.3%,-18.2%,49,36.1%,16.7%,164,1.9%,-11.8%,53,4,-10,97.1%,-2.1%,0.6%
"Lakewood, WA",11/30/2013,2013,12,$234K,35.4%,9.1%,36,0.0%,-12.2%,30,-38.8%,42.9%,159,-3.0%,-3.0%,73,20,15,98.3%,1.2%,1.3%
"Lakewood, WA",12/31/2013,2013,1,$178K,-23.8%,-6.3%,25,-30.6%,-10.7%,44,46.7%,25.7%,153,-3.8%,10.9%,74,1,-11,97.0%,-1.4%,-3.2%
"Lakewood, WA",1/31/2014,2014,2,$172K,-3.2%,-14.1%,38,52.0%,15.2%,44,0.0%,-22.8%,145,-5.2%,-9.4%,68,-6,16,97.4%,0.4%,1.9%
"Lakewood, WA",2/28/2014,2014,3,$186K,8.0%,-17.3%,41,7.9%,20.6%,74,68.2%,17.5%,160,10.3%,1.9%,68,0,-38,97.0%,-0.4%,1.7%
"Lakewood, WA",3/31/2014,2014,4,$189K,1.6%,-0.5%,47,14.6%,-7.8%,82,10.8%,5.1%,179,11.9%,4.7%,39,-29,12,99.4%,2.4%,2.0%
"Lakewood, WA",4/30/2014,2014,5,$217K,14.6%,8.8%,51,8.5%,4.1%,89,8.5%,34.8%,195,8.9%,8.3%,36,-3,-1,99.2%,-0.2%,0.3%
"Lakewood, WA",5/31/2014,2014,6,$192K,-11.3%,-1.8%,46,-9.8%,-11.5%,63,-29.2%,12.5%,206,5.6%,13.8%,38,2,-4,97.5%,-1.6%,1.5%
"Lakewood, WA",6/30/2014,2014,7,$239K,24.4%,16.5%,62,34.8%,10.7%,80,27.0%,15.9%,219,6.3%,15.9%,32,-6,-17,98.3%,0.8%,0.2%
"Lakewood, WA",7/31/2014,2014,8,$219K,-8.3%,6.1%,59,-4.8%,18.0%,64,-20.0%,6.7%,214,-2.3%,12.0%,24,-8,-23,97.4%,-0.9%,-0.2%
"Lakewood, WA",8/31/2014,2014,9,$196K,-10.5%,3.7%,61,3.4%,74.3%,65,1.6%,35.4%,205,-4.2%,8.5%,45,21,14,98.0%,0.6%,0.8%
"Lakewood, WA",9/30/2014,2014,10,$213K,8.4%,21.5%,52,-14.8%,20.9%,55,-15.4%,52.8%,204,-0.5%,26.7%,52,7,3,98.7%,0.6%,-0.6%
"Lakewood, WA",10/31/2014,2014,11,$204K,-4.2%,18.0%,36,-30.8%,0.0%,43,-21.8%,-12.2%,197,-3.4%,20.1%,40,-12,-13,95.7%,-3.0%,-1.4%
"Lakewood, WA",11/30/2014,2014,12,$193K,-5.0%,-17.2%,44,22.2%,22.2%,31,-27.9%,3.3%,161,-18.3%,1.3%,56,16,-17,97.0%,1.4%,-1.3%
"Lakewood, WA",12/31/2014,2014,1,$195K,0.9%,9.6%,37,-15.9%,48.0%,62,100.0%,40.9%,160,-0.6%,4.6%,46,-10,-28,97.2%,0.2%,0.3%
"Lakewood, WA",1/31/2015,2015,2,$188K,-3.6%,9.1%,47,27.0%,23.7%,65,4.8%,47.7%,163,1.9%,12.4%,82,36,14,97.7%,0.4%,0.3%
"Lakewood, WA",2/28/2015,2015,3,$215K,14.1%,15.3%,53,12.8%,29.3%,81,24.6%,9.5%,177,8.6%,10.6%,57,-25,-11,97.6%,0.0%,0.6%
"Lakewood, WA",3/31/2015,2015,4,$214K,-0.3%,13.1%,56,5.7%,19.1%,84,3.7%,2.4%,187,5.6%,4.5%,31,-26,-8,97.9%,0.3%,-1.5%
"Lakewood, WA",4/30/2015,2015,5,$225K,5.3%,3.9%,65,16.1%,27.5%,88,4.8%,-1.1%,193,3.2%,-1.0%,27,-4,-9,99.2%,1.3%,0.1%
"Lakewood, WA",5/31/2015,2015,6,$219K,-2.9%,13.8%,72,10.8%,56.5%,89,1.1%,41.3%,202,4.7%,-1.9%,24,-3,-14,98.9%,-0.3%,1.4%
"Lakewood, WA",6/30/2015,2015,7,$239K,9.2%,-0.1%,79,9.7%,27.4%,80,-10.1%,0.0%,198,-2.0%,-9.6%,22,-2,-10,98.8%,-0.1%,0.5%
"Lakewood, WA",7/31/2015,2015,8,$229K,-4.0%,4.6%,60,-24.1%,1.7%,71,-11.3%,10.9%,204,3.0%,-4.7%,42,20,18,98.5%,-0.2%,1.2%
"Lakewood, WA",8/31/2015,2015,9,$227K,-0.7%,16.1%,68,13.3%,11.5%,65,-8.5%,0.0%,210,2.9%,2.4%,36,-6,-9,98.5%,0.0%,0.5%
"Lakewood, WA",9/30/2015,2015,10,$264K,16.3%,24.4%,44,-35.3%,-15.4%,58,-10.8%,5.5%,193,-8.1%,-5.4%,37,1,-15,98.0%,-0.5%,-0.6%
"Lakewood, WA",10/31/2015,2015,11,$185K,-30.2%,-9.3%,48,9.1%,33.3%,46,-20.7%,7.0%,188,-2.6%,-4.6%,47,10,7,97.7%,-0.4%,2.0%
"Lakewood, WA",11/30/2015,2015,12,$240K,30.1%,24.2%,57,18.8%,29.5%,31,-32.6%,0.0%,154,-18.1%,-4.3%,44,-3,-12,99.6%,1.9%,2.6%
"Lakewood, WA",12/31/2015,2015,1,$229K,-4.7%,17.3%,47,-17.5%,27.0%,42,35.5%,-32.3%,130,-15.6%,-18.8%,88,44,42,98.8%,-0.8%,1.6%
"Lakewood, WA",1/31/2016,2016,2,$228K,-0.5%,21.0%,36,-23.4%,-23.4%,54,28.6%,-16.9%,117,-10.0%,-28.2%,62,-26,-20,99.3%,0.5%,1.6%
"Lakewood, WA",2/29/2016,2016,3,$222K,-2.4%,3.6%,69,91.7%,30.2%,79,46.3%,-2.5%,125,6.8%,-29.4%,56,-6,-1,99.5%,0.2%,1.8%
"Lakewood, WA",3/31/2016,2016,4,$215K,-3.4%,0.4%,52,-24.6%,-7.1%,92,16.5%,9.5%,150,20.0%,-19.8%,25,-31,-6,99.4%,0.0%,1.5%
"Lakewood, WA",4/30/2016,2016,5,$248K,15.5%,10.1%,72,38.5%,10.8%,97,5.4%,10.2%,162,8.0%,-16.1%,18,-7,-9,100.2%,0.8%,1.0%
"Lakewood, WA",5/31/2016,2016,6,$253K,2.1%,15.8%,63,-12.5%,-12.5%,78,-19.6%,-12.4%,156,-3.7%,-22.8%,19,1,-5,100.5%,0.3%,1.7%
"Lakewood, WA",6/30/2016,2016,7,$256K,1.1%,7.2%,78,23.8%,-1.3%,76,-2.6%,-5.0%,154,-1.3%,-22.2%,21,2,-1,99.4%,-1.1%,0.6%
"Lakewood, WA",7/31/2016,2016,8,$250K,-2.2%,9.2%,74,-5.1%,23.3%,97,27.6%,36.6%,179,16.2%,-12.3%,26,5,-16,99.6%,0.2%,1.1%
"Lakewood, WA",8/31/2016,2016,9,$253K,1.0%,11.0%,62,-16.2%,-8.8%,77,-20.6%,18.5%,186,3.9%,-11.4%,25,-1,-11,99.9%,0.3%,1.3%
"Lakewood, WA",9/30/2016,2016,10,$238K,-5.9%,-10.2%,59,-4.8%,34.1%,56,-27.3%,-3.4%,156,-16.1%,-19.2%,24,-1,-13,99.2%,-0.7%,1.2%
"Lakewood, WA",10/31/2016,2016,11,$234K,-1.5%,26.8%,60,1.7%,25.0%,44,-21.4%,-4.3%,123,-21.2%,-34.6%,19,-5,-28,100.4%,1.2%,2.7%
"Lakewood, WA",11/30/2016,2016,12,$247K,5.5%,2.9%,65,8.3%,14.0%,47,6.8%,51.6%,117,-4.9%,-24.0%,29,10,-15,98.1%,-2.3%,-1.5%
"Lakewood, WA",12/31/2016,2016,1,$265K,7.3%,15.8%,59,-9.2%,25.5%,48,2.1%,14.3%,99,-15.4%,-23.8%,46,17,-42,99.7%,1.5%,0.9%
"Lakewood, WA",1/31/2017,2017,2,$260K,-1.9%,14.3%,35,-40.7%,-2.8%,62,29.2%,14.8%,93,-6.1%,-20.5%,60,14,-2,99.7%,0.0%,0.4%
"Lakewood, WA",2/28/2017,2017,3,$281K,8.1%,26.5%,75,114.3%,8.7%,86,38.7%,8.9%,102,9.7%,-18.4%,17,-43,-39,101.7%,2.0%,2.2%
"Lakewood, WA",3/31/2017,2017,4,$272K,-3.2%,26.8%,66,-12.0%,26.9%,92,7.0%,0.0%,124,21.6%,-17.3%,16,-1,-9,100.8%,-0.9%,1.3%
"Lakewood, WA",4/30/2017,2017,5,$245K,-9.9%,-1.1%,79,19.7%,9.7%,102,10.9%,5.2%,138,11.3%,-14.8%,13,-3,-5,103.1%,2.3%,2.9%
"Lakewood, WA",5/31/2017,2017,6,$275K,12.1%,8.5%,88,11.4%,39.7%,98,-3.9%,25.6%,153,10.9%,-1.9%,10,-3,-9,102.8%,-0.2%,2.3%
"Lakewood, WA",6/30/2017,2017,7,$294K,6.9%,14.8%,71,-19.3%,-9.0%,81,-17.3%,6.6%,138,-9.8%,-10.4%,18,8,-3,100.8%,-2.1%,1.4%
"Lakewood, WA",7/31/2017,2017,8,$291K,-0.7%,16.6%,86,21.1%,16.2%,103,27.2%,6.2%,155,12.3%,-13.4%,17,-1,-9,100.8%,0.1%,1.2%
"Lakewood, WA",8/31/2017,2017,9,$295K,1.2%,16.8%,79,-8.1%,27.4%,77,-25.2%,0.0%,163,5.2%,-12.4%,21,4,-4,100.5%,-0.3%,0.6%
"Lakewood, WA",9/30/2017,2017,10,$284K,-3.7%,19.6%,66,-16.5%,11.9%,62,-19.5%,10.7%,147,-9.8%,-5.8%,24,3,0,102.5%,2.0%,3.3%
"Lakewood, WA",10/31/2017,2017,11,$280K,-1.4%,19.7%,58,-12.1%,-3.3%,49,-21.0%,11.4%,118,-19.7%,-4.1%,27,3,8,99.8%,-2.7%,-0.6%
"Lakewood, WA",11/30/2017,2017,12,$280K,0.0%,13.4%,63,8.6%,-3.1%,45,-8.2%,-4.3%,105,-11.0%,-10.3%,40,13,11,101.0%,1.2%,2.9%
"Lakewood, WA",12/31/2017,2017,1,$288K,2.9%,8.7%,48,-23.8%,-18.6%,56,24.4%,16.7%,89,-15.2%,-10.1%,40,0,-6,98.9%,-2.1%,-0.7%
"Lakewood, WA",1/31/2018,2018,2,$294K,1.9%,12.9%,63,31.3%,80.0%,57,1.8%,-8.1%,82,-7.9%,-11.8%,26,-14,-34,99.7%,0.8%,0.1%
